开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:48:00,8.21600000,8.26000000,8.21600000,8.25400000,16793.80000000,1708591739999,138336.65500000,425,10662.50000000,87834.88670000
2024-02-22 16:49:00,8.25500000,8.27800000,8.23700000,8.27400000,15344.50000000,1708591799999,126654.81880000,411,9107.50000000,75201.85060000
2024-02-22 16:50:00,8.27500000,8.31800000,8.27500000,8.30400000,64663.30000000,1708591859999,536351.55250000,920,30777.80000000,255278.28600000
2024-02-22 16:51:00,8.30400000,8.35400000,8.30000000,8.31900000,59418.60000000,1708591919999,494723.25340000,1127,39584.70000000,329678.06370000
2024-02-22 16:52:00,8.31900000,8.33900000,8.31000000,8.33600000,11767.80000000,1708591979999,97954.70650000,321,6522.60000000,54305.46330000
2024-02-22 16:53:00,8.33500000,8.36400000,8.31200000,8.31800000,49349.70000000,1708592039999,411626.91630000,808,26806.80000000,223751.75250000
2024-02-22 16:54:00,8.31600000,8.31700000,8.28200000,8.31200000,24177.80000000,1708592099999,200707.49730000,623,11929.80000000,99034.59740000
2024-02-22 16:55:00,8.31200000,8.34400000,8.31200000,8.33500000,43000.20000000,1708592159999,358245.87360000,861,31643.50000000,263639.48130000
2024-02-22 16:56:00,8.33500000,8.36400000,8.32300000,8.34000000,69683.00000000,1708592219999,581579.76690000,825,53847.20000000,449517.18310000
2024-02-22 16:57:00,8.34100000,8.34800000,8.31600000,8.32200000,24555.10000000,1708592279999,204452.50270000,571,12241.80000000,101932.04170000
2024-02-22 16:58:00,8.32400000,8.32800000,8.29800000,8.30400000,22073.30000000,1708592339999,183420.05860000,515,12857.40000000,106859.79230000
2024-02-22 16:59:00,8.30400000,8.33500000,8.30400000,8.32700000,24103.00000000,1708592399999,200595.21700000,474,14670.60000000,122097.13600000
2024-02-22 17:00:00,8.32600000,8.32700000,8.30100000,8.30600000,37359.70000000,1708592459999,310647.11110000,776,16560.80000000,137721.72470000
2024-02-22 17:01:00,8.30500000,8.31300000,8.28100000,8.28500000,14512.60000000,1708592519999,120438.77340000,385,6152.10000000,51061.71330000
2024-02-22 17:02:00,8.28500000,8.32400000,8.28400000,8.31500000,18853.60000000,1708592579999,156629.06530000,383,15131.70000000,125695.65830000
2024-02-22 17:03:00,8.31600000,8.33000000,8.29500000,8.32900000,26368.60000000,1708592639999,219179.11820000,517,12195.50000000,101394.93210000
2024-02-22 17:04:00,8.32800000,8.33200000,8.30600000,8.30800000,21681.10000000,1708592699999,180372.74110000,491,9583.30000000,79725.03950000
