开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:40:00,51784.16000000,51835.60000000,51784.16000000,51835.59000000,21.39839000,1708591259999,1108472.57877450,1069,9.70872000,502972.90906470
2024-02-22 16:41:00,51835.59000000,51841.10000000,51783.33000000,51786.01000000,18.31379000,1708591319999,948863.15224450,1189,8.32595000,431424.80548370
2024-02-22 16:42:00,51786.01000000,51786.01000000,51747.23000000,51747.23000000,13.27200000,1708591379999,687078.93913940,1010,6.53550000,338335.16352530
2024-02-22 16:43:00,51747.24000000,51782.07000000,51747.23000000,51782.07000000,13.46537000,1708591439999,697051.10095270,943,11.54617000,597691.98208960
2024-02-22 16:44:00,51782.07000000,51807.99000000,51782.06000000,51807.99000000,16.94214000,1708591499999,877572.37113540,1081,12.74010000,659891.01346050
2024-02-22 16:45:00,51807.99000000,51832.73000000,51807.94000000,51821.11000000,25.39994000,1708591559999,1316250.50782090,856,6.40728000,332033.64908600
2024-02-22 16:46:00,51821.11000000,51823.58000000,51790.00000000,51823.57000000,15.27826000,1708591619999,791481.68422090,1582,10.61166000,549715.36603960
2024-02-22 16:47:00,51823.57000000,51834.76000000,51823.57000000,51830.67000000,6.24848000,1708591679999,323834.13445870,468,3.20645000,166175.75316160
2024-02-22 16:48:00,51830.68000000,51846.83000000,51830.67000000,51846.82000000,7.58117000,1708591739999,393009.10561890,450,4.26770000,221235.56485570
2024-02-22 16:49:00,51846.83000000,51850.00000000,51834.00000000,51846.84000000,12.71971000,1708591799999,659441.92535400,716,4.99062000,258730.70576770
2024-02-22 16:50:00,51846.85000000,51875.00000000,51846.84000000,51875.00000000,8.91306000,1708591859999,462212.68147600,670,7.76204000,402526.47216140
2024-02-22 16:51:00,51875.00000000,51896.15000000,51866.01000000,51866.01000000,30.79564000,1708591919999,1597700.88405510,1038,16.84690000,874026.28003540
2024-02-22 16:52:00,51866.01000000,51900.00000000,51866.01000000,51900.00000000,16.29098000,1708591979999,845280.43945180,687,13.81462000,716775.59167740
2024-02-22 16:53:00,51900.00000000,51908.54000000,51872.00000000,51892.60000000,25.66131000,1708592039999,1331650.54024000,1172,12.68912000,658509.91190720
2024-02-22 16:54:00,51892.60000000,51892.61000000,51860.10000000,51860.11000000,15.74833000,1708592099999,816823.91839510,941,5.23635000,271573.83267590
2024-02-22 16:55:00,51860.10000000,51905.79000000,51860.10000000,51902.02000000,32.20441000,1708592159999,1670971.38893100,1094,26.33546000,1366467.90237990
2024-02-22 16:56:00,51902.01000000,51910.00000000,51900.00000000,51909.77000000,24.09065000,1708592219999,1250453.45091660,666,13.50888000,701198.50427580
2024-02-22 16:57:00,51909.78000000,51919.70000000,51904.50000000,51919.70000000,21.60749000,1708592279999,1121754.01241870,673,11.26826000,584987.51911620
2024-02-22 16:58:00,51919.70000000,51929.44000000,51884.00000000,51884.22000000,57.71284000,1708592339999,2995469.94606060,1306,21.41691000,1111615.78850620
2024-02-22 16:59:00,51884.22000000,51897.76000000,51884.21000000,51888.52000000,19.97076000,1708592399999,1036308.31804050,1010,15.15354000,786335.87699040
2024-02-22 17:00:00,51888.52000000,51888.52000000,51853.34000000,51855.71000000,28.88678000,1708592459999,1498325.70746960,2002,12.08965000,627080.22037790
2024-02-22 17:01:00,51855.71000000,51859.33000000,51855.71000000,51859.33000000,15.85660000,1708592519999,822298.95030110,417,8.82919000,457867.99392920
2024-02-22 17:02:00,51859.32000000,51859.33000000,51843.32000000,51843.33000000,12.32598000,1708592579999,639157.66775330,585,2.02075000,104784.91423350
2024-02-22 17:03:00,51843.33000000,51849.99000000,51831.38000000,51840.40000000,25.60670000,1708592639999,1327383.72566530,966,18.03343000,934759.25161250
2024-02-22 17:04:00,51840.41000000,51840.41000000,51822.68000000,51832.22000000,16.78021000,1708592699999,869742.92535440,758,6.62592000,343431.62698600
2024-02-22 17:05:00,51832.21000000,51881.10000000,51832.21000000,51877.78000000,23.48243000,1708592759999,1217752.53165790,1749,14.52412000,753213.37237540
2024-02-22 17:06:00,51877.79000000,51888.88000000,51857.00000000,51879.98000000,15.25492000,1708592819999,791391.10089630,1217,6.01194000,311894.22951070
2024-02-22 17:07:00,51879.98000000,51879.99000000,51876.30000000,51876.31000000,21.66098000,1708592879999,1123768.34746770,544,9.20930000,477777.77004360
2024-02-22 17:08:00,51876.30000000,51876.31000000,51849.98000000,51853.99000000,16.95354000,1708592939999,879239.88548230,1076,6.11340000,317060.87068730
2024-02-22 17:09:00,51854.00000000,51868.01000000,51849.98000000,51868.01000000,10.45691000,1708592999999,542224.22873390,1038,6.42341000,333080.46785350
2024-02-22 17:10:00,51868.00000000,51876.31000000,51855.20000000,51859.81000000,14.05656000,1708593059999,729079.85139720,1237,8.24299000,427545.53342970
2024-02-22 17:11:00,51859.81000000,51864.00000000,51859.81000000,51863.99000000,6.46700000,1708593119999,335403.49663170,659,3.11886000,161755.66934170
2024-02-22 17:12:00,51864.00000000,51864.00000000,51838.80000000,51838.81000000,25.62044000,1708593179999,1328587.09996750,1088,2.64644000,137229.17636330
2024-02-22 17:13:00,51838.81000000,51838.81000000,51812.28000000,51812.29000000,5.84708000,1708593239999,303020.77483600,557,2.83510000,146927.48446950
2024-02-22 17:14:00,51812.28000000,51812.29000000,51783.94000000,51789.53000000,33.27752000,1708593299999,1723807.24297990,879,12.11942000,627735.70076750
2024-02-22 17:15:00,51789.53000000,51799.99000000,51779.49000000,51785.12000000,26.54744000,1708593359999,1374810.19472510,1074,10.16699000,526517.17301960
2024-02-22 17:16:00,51785.11000000,51785.12000000,51769.14000000,51769.14000000,10.83773000,1708593419999,561105.95512880,676,5.94214000,307643.47243800
2024-02-22 17:17:00,51769.14000000,51775.23000000,51766.55000000,51775.22000000,10.76829000,1708593479999,557463.52290200,661,7.05054000,364998.36324840
2024-02-22 17:18:00,51775.22000000,51778.00000000,51775.22000000,51777.99000000,7.00560000,1708593539999,362735.89343910,408,3.66717000,189878.70661280
2024-02-22 17:19:00,51778.00000000,51783.80000000,51762.44000000,51762.45000000,16.39019000,1708593599999,848598.55908260,905,5.43802000,281553.47975210
